,Crime,Severity,Latitude,Longitude,Day,Hour
3720,ROBBERY,9,37.873327,-122.273214,Friday,8
3722,LARCENY,1,37.891068,-122.265828,Tuesday,3
3723,MOTOR VEHICLE THEFT,6,37.855832,-122.272369,Tuesday,20
3724,LARCENY,1,37.876085,-122.306138,Monday,7
3725,BURGLARY - COMMERCIAL,11,37.868663,-122.301325,Saturday,21
3726,LARCENY,1,37.863099,-122.27207,Friday,22
3727,VANDALISM,5,37.852211,-122.286336,Wednesday,21
3728,VANDALISM,5,37.869535,-122.296988,Monday,10
3729,BURGLARY - COMMERCIAL,11,37.869105,-122.270064,Saturday,15
3730,BURGLARY - RESIDENTIAL,8,37.872166,-122.275372,Sunday,16
3731,BURGLARY - RESIDENTIAL,8,37.870957,-122.247905,Monday,21
3732,ROBBERY,9,37.862927,-122.258784,Thursday,18
3733,LARCENY,1,37.891879,-122.2509,Monday,18
3734,BURGLARY - RESIDENTIAL,8,37.868204,-122.270054,Monday,13
3735,VANDALISM,5,37.869363,-122.268028,Monday,3
3736,BURGLARY - VEHICLE,2,37.874872,-122.282359,Thursday,17
3737,LARCENY,1,37.857544,-122.267497,Saturday,14
3738,VANDALISM,5,37.871225,-122.284447,Saturday,14
3739,ARSON,18,37.88055,-122.304962,Wednesday,9
3740,ROBBERY,9,37.880227,-122.26936,Friday,18
3741,LARCENY,1,37.864826,-122.260719,Monday,21
3742,BURGLARY - VEHICLE,2,37.848585,-122.272612,Tuesday,21
3743,LARCENY,1,37.870972,-122.288185,Thursday,23
3744,BURGLARY - COMMERCIAL,11,37.85488,-122.269079,Friday,4
3745,MOTOR VEHICLE THEFT,6,37.886401,-122.251877,Wednesday,2
3746,DRUG VIOLATION,10,37.862184,-122.293517,Friday,8
3747,BURGLARY - COMMERCIAL,11,37.855026,-122.266475,Sunday,4
3748,LARCENY,1,37.88014,-122.297498,Thursday,18
3749,DISORDERLY CONDUCT,3,37.868204,-122.270054,Saturday,15
3750,LARCENY,1,37.87448,-122.297461,Friday,22
3751,FRAUD,7,37.896703,-122.284274,Thursday,4
3752,FAMILY OFFENSE,12,37.866311,-122.256361,Friday,2
3753,LIQUOR LAW VIOLATION,15,37.868591,-122.294393,Tuesday,18
3754,LARCENY,1,37.874427,-122.285938,Tuesday,2
3755,DRUG VIOLATION,10,37.866981,-122.302083,Friday,19
3756,WEAPONS OFFENSE,14,37.867513,-122.281165,Monday,14
3757,ROBBERY,9,37.870602,-122.265794,Friday,14
3758,BURGLARY - VEHICLE,2,37.879968,-122.296885,Wednesday,20
3759,ASSAULT,4,37.871167,-122.268285,Wednesday,20
3760,LARCENY,1,37.868058,-122.278332,Monday,9
3761,FAMILY OFFENSE,12,37.856968,-122.279544,Wednesday,18
3762,LARCENY,1,37.865963,-122.279288,Tuesday,21
3763,FRAUD,7,37.897129,-122.278478,Wednesday,13
3764,DISORDERLY CONDUCT,3,37.873687,-122.268616,Tuesday,13
3765,MOTOR VEHICLE THEFT,6,37.877546,-122.294931,Thursday,18
3766,DRUG VIOLATION,10,37.869128,-122.292234,Sunday,23
3767,BURGLARY - VEHICLE,2,37.871323,-122.267222,Saturday,14
3768,BURGLARY - VEHICLE,2,37.875779,-122.28347,Sunday,21
3769,FRAUD,7,37.871167,-122.268285,Wednesday,17
3770,LARCENY,1,37.880468,-122.295876,Monday,19
3771,BURGLARY - RESIDENTIAL,8,37.870948,-122.27733,Saturday,13
3772,DISORDERLY CONDUCT,3,37.875963,-122.296521,Wednesday,15
3773,VANDALISM,5,37.866969,-122.26553,Tuesday,0
3774,MOTOR VEHICLE THEFT,6,37.880893,-122.263673,Thursday,18
3775,BURGLARY - VEHICLE,2,37.860768,-122.278249,Tuesday,20
3776,BURGLARY - VEHICLE,2,37.863977,-122.267307,Wednesday,14
3777,FAMILY OFFENSE,12,37.869423,-122.281951,Wednesday,13
3778,BURGLARY - RESIDENTIAL,8,37.867717,-122.249901,Tuesday,5
3779,LARCENY,1,37.868722,-122.259123,Tuesday,18
3780,DRUG VIOLATION,10,37.891095,-122.284247,Sunday,7
3781,DRUG VIOLATION,10,37.870417,-122.292485,Sunday,19
3782,MOTOR VEHICLE THEFT,6,37.873343,-122.280086,Monday,22
3783,BURGLARY - VEHICLE,2,37.86066,-122.253407,Tuesday,0
3784,ROBBERY,9,37.872756,-122.284632,Thursday,19
3785,BURGLARY - VEHICLE,2,37.870793,-122.297496,Wednesday,15
3786,DISORDERLY CONDUCT,3,37.85488,-122.269079,Wednesday,20
3787,DISORDERLY CONDUCT,3,37.876881,-122.266666,Friday,14
3788,FAMILY OFFENSE,12,37.880971,-122.306626,Saturday,22
3789,BURGLARY - VEHICLE,2,37.868667,-122.313656,Friday,11
3790,BURGLARY - VEHICLE,2,37.865845,-122.260009,Sunday,17
3791,MISSING PERSON,16,37.848724,-122.271528,Monday,12
3792,MOTOR VEHICLE THEFT,6,37.854002,-122.248587,Saturday,12
3793,LIQUOR LAW VIOLATION,15,37.871828,-122.270516,Friday,3
3794,LARCENY,1,37.86825,-122.300093,Wednesday,14
3795,LARCENY,1,37.869921,-122.294825,Monday,18
3796,FRAUD,7,37.855632,-122.256606,Friday,16
3797,BURGLARY - COMMERCIAL,11,37.881957,-122.269551,Sunday,13
3798,BURGLARY - COMMERCIAL,11,37.868447,-122.261268,Wednesday,12
3799,MOTOR VEHICLE THEFT,6,37.867482,-122.254253,Friday,18
3800,BURGLARY - RESIDENTIAL,8,37.869535,-122.296988,Monday,0
3801,ASSAULT,4,37.868714,-122.259189,Tuesday,23
3802,LARCENY,1,37.880228,-122.295798,Friday,18
3803,WEAPONS OFFENSE,14,37.863945,-122.294086,Wednesday,22
3804,ASSAULT,4,37.852211,-122.286336,Monday,22
3805,FRAUD,7,37.882739,-122.293754,Friday,3
3806,MOTOR VEHICLE THEFT,6,37.868164,-122.256314,Tuesday,18
3807,LARCENY,1,37.870948,-122.27733,Wednesday,10
3808,LARCENY,1,37.857377,-122.268709,Tuesday,15
3809,FRAUD,7,37.875708,-122.2897,Friday,17
3810,BURGLARY - VEHICLE,2,37.869888,-122.300618,Thursday,18
3811,LARCENY,1,37.873921,-122.275577,Friday,13
3812,MOTOR VEHICLE THEFT,6,37.872992,-122.295801,Sunday,23
3813,BURGLARY - VEHICLE,2,37.865202,-122.257795,Monday,20
3814,BURGLARY - VEHICLE,2,37.869363,-122.268028,Sunday,9
3815,LARCENY,1,37.853665,-122.252715,Saturday,9
3816,BURGLARY - VEHICLE,2,37.854154,-122.272171,Monday,0
3817,ARSON,18,37.863292,-122.256293,Thursday,4
3818,DISORDERLY CONDUCT,3,37.861661,-122.256169,Wednesday,18
3819,LARCENY,1,37.871246,-122.274991,Thursday,15
3820,MOTOR VEHICLE THEFT,6,37.857784,-122.272998,Sunday,22
3821,BURGLARY - VEHICLE,2,37.880756,-122.303056,Tuesday,18
3822,FRAUD,7,37.854154,-122.272171,Sunday,12
3823,BURGLARY - VEHICLE,2,37.862491,-122.2646,Monday,1
3824,BURGLARY - VEHICLE,2,37.882217,-122.302226,Tuesday,19
3825,BURGLARY - VEHICLE,2,37.887199,-122.275869,Monday,0
3826,DISORDERLY CONDUCT,3,37.852956,-122.266195,Monday,19
3827,BURGLARY - VEHICLE,2,37.873393,-122.286956,Friday,4
3828,BURGLARY - VEHICLE,2,37.865443,-122.263189,Friday,0
3829,FAMILY OFFENSE,12,37.869363,-122.268028,Saturday,23
3830,FRAUD,7,37.867708,-122.250801,Monday,11
